case_id,stage,label,meaning,normalization,w_y,w_u,w_e,seed,repeats,max_nfes,best_scalar,mean_scalar,std_scalar,fearate,elapsed_wall_time,base_penalty,J_y,J_u,J_e,J_y_bar,J_u_bar,J_e_bar,global_weighted_score,J_y_mean,J_y_std,J_y_bar_mean,J_y_bar_std,J_u_mean,J_u_std,J_u_bar_mean,J_u_bar_std,J_e_mean,J_e_std,J_e_bar_mean,J_e_bar_std
PARETO_E11,pareto_epsilon,"$\epsilon_u=0.04, \epsilon_e=0.03$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261702,3,220,inf,inf,nan,0.0,567.649108499987,1.0,0.0010163599665062063,0.19478443713273233,0.08472159953686603,0.43116091113027577,0.6628684029573767,1.8706746370267953,0.43116091113027577,0.007274179308414855,0.006916142856311593,3.7842582513813787,3.705843673208679,0.5661052033289494,0.330593348781104,2.733570824829114,1.8435824502580542,0.07849926810708054,0.005894018113230049,1.7330942654639057,0.13032112017288447
PARETO_E12,pareto_epsilon,"$\epsilon_u=0.04, \epsilon_e=0.06$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261703,3,220,0.29809173078247364,inf,nan,0.015151515151515152,561.6827419000037,0.0,0.0007680155833604291,0.08194176900506964,0.002008925885465822,0.29809173078247364,0.033591488078490155,0.04183596098861436,0.29809173078247364,0.0018443823550919408,0.0012762744658710579,0.8748361783661577,0.6838600290492556,0.21943686551569228,0.18431459005278025,0.8003448055850698,1.0278462794265255,0.0787962014517219,0.10055613581338949,1.7396596823572612,2.223370883445763
PARETO_E13,pareto_epsilon,"$\epsilon_u=0.04, \epsilon_e=0.51$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261704,3,220,inf,inf,nan,0.0,566.7538630999916,1.0,0.0006766583368994579,0.23267084820253675,0.0521133140912811,0.24914021534490655,0.8741452565573611,1.149681215468247,0.24914021534490655,0.007307428381071503,0.008836838586764517,3.8020739425989554,4.735000859336244,0.5314685592604468,0.31138689401361924,2.5404165784537374,1.7364759913061072,0.07940979670563518,0.030927839395433,1.7532267293677295,0.6838375106945618
PARETO_E21,pareto_epsilon,"$\epsilon_u=0.09, \epsilon_e=0.03$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261705,3,220,inf,inf,nan,0.0,565.7378522999934,1.0,0.0006531641126591998,0.15397170889242906,0.07052839469558758,0.23655141779306724,0.4352726881361624,1.5568523313900464,0.23655141779306724,0.003386826021984575,0.0029317260648504106,1.7013163744798714,1.5708927236938197,0.3219666194958188,0.19765046842956308,1.3721108612663488,1.102214960541437,0.1564370284560135,0.08698784991847264,3.456356060272429,1.9233660000738517
PARETO_E22,pareto_epsilon,"$\epsilon_u=0.09, \epsilon_e=0.06$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261706,3,220,inf,inf,nan,0.0,564.0416916999966,1.0,0.0010455822962460626,0.16646845143789482,0.07633547202419384,0.4468189719934977,0.5049618555896447,1.6852511262114955,0.4468189719934977,0.004633841095747183,0.004094844880036229,2.3694984837146054,2.194121102863688,0.5588517348152688,0.3407378689142121,2.693121229262159,1.9001542456454774,0.07225197044061561,0.0036509242272923723,1.5949618718562821,0.08072464757091158
PARETO_E23,pareto_epsilon,"$\epsilon_u=0.09, \epsilon_e=0.51$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261707,3,220,inf,inf,nan,0.0,567.3935966000136,1.0,0.000655644078598722,0.22671209512810409,0.06291772142522856,0.23788024605438116,0.8409157538043608,1.3885746900918807,0.23788024605438116,0.0016571986562819328,0.0010377126017391905,0.774538434323779,0.5560325689708167,0.25810387704371396,0.0700545731684854,1.0159747452672114,0.3906653964150184,0.10953371700194547,0.08775476553106622,2.419288991409614,1.940323074143055
PARETO_E31,pareto_epsilon,"$\epsilon_u=0.16, \epsilon_e=0.03$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261708,3,220,inf,inf,nan,0.0,565.5385605999909,0.0,0.0018034339223280808,0.12204513256148167,0.0028266002410029176,0.8528949759302832,0.2572313692845501,0.05991534858178183,0.8528949759302832,0.003764405099724784,0.002983757471535946,1.903632761727799,1.5987724629183753,0.213231289034738,0.12087861604225957,0.7657388707221865,0.6740900746147408,0.02144262761813336,0.03309294967173961,0.4715295469689649,0.7317097077400287
PARETO_E32,pareto_epsilon,"$\epsilon_u=0.16, \epsilon_e=0.06$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261709,3,220,0.022436278778590498,inf,nan,0.015151515151515152,566.0112714999996,0.0,0.0002535652575242901,0.08967370428915289,0.0016188133162444301,0.022436278778590498,0.07670929504231151,0.03321028220077088,0.022436278778590498,0.0023825193733721215,0.0027032898056850675,1.1631835572368907,1.4484908179861036,0.24271075509190632,0.2707589356311984,0.9301336671279631,1.5099106616048132,0.047465841792128115,0.0773299990874162,1.046922149519915,1.7098237417050277
PARETO_E33,pareto_epsilon,"$\epsilon_u=0.16, \epsilon_e=0.51$",epsilon-constraint Pareto verification,minmax,1.0,0.0,0.0,20261710,3,220,0.0559346700406816,inf,nan,0.015151515151515152,388.8405328000081,0.0,0.0003160826435382133,0.08761149090518253,0.002802126438737486,0.0559346700406816,0.06520918344783305,0.059374214627856324,0.0559346700406816,0.0023282769788545306,0.002622428634051142,1.1341191150009613,1.4051633640087242,0.22357504086060712,0.13737520074549542,0.823421698904624,0.7660847083852415,0.037660009381497744,0.03020854096975166,0.8301079084655041,0.6679332880110631
